gene_symbol	gs_name	gs_description
AAAS	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
ABAT	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
ABCC5	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
ABHD4	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
ABL1	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
ACVR1B	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
ADA	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
ADA	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
ADCY6	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
ADD1	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
ADRM1	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
AEN	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
AGO4	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
AIFM3	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
AK1	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
AK1	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
AK2	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
AK3	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
ALOX15B	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
ALYREF	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
AMD1	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
ANKH	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
ANKRA2	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
ANP32E	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
ANXA1	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
APAF1	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
APP	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
APP	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
APRT	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
ARID4A	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
ARL6IP1	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
