gene_name	HCM-CSHL-0080-C25-01A	HCM-SANG-0291-C15-85A-01R-A80W-32	HCM-SANG-0265-C18-85A	HCM-CSHL-0160-C18-01B	HCM-SANG-0269-C18-85A-01R-A80W-32
TSPAN6	1500	1777	3256	3563	26497
TNMD	2	0	1	21	9
DPM1	855	1646	2322	1617	7269
SCYL3	748	655	776	604	454
C1orf112	329	280	660	405	331
FGR	517	1	1	388	2
CFH	6817	0	22	1896	0
FUCA2	1559	2784	2205	928	2396
GCLC	1158	5808	2401	1653	2281
NFYA	1070	2292	1732	1318	778
STPG1	347	819	285	184	201
NIPAL3	1485	2902	1926	1597	834
LAS1L	1315	2176	2698	1377	1170
ENPP4	1030	1405	1060	996	1638
SEMA3F	753	268	582	303	1042
CFTR	2236	7	1503	11663	4433
ANKIB1	3965	2955	3745	3224	1364
CYP51A1	166	402	528	57	177
KRIT1	237	206	320	432	269
RAD52	545	404	434	428	1527
MYH16	203	28	40	37	19
BAD	213	374	249	86	423
LAP3	2851	3779	2234	2407	950
CD99	5159	3036	1196	1440	4840
CD99.1	0	0	0	0	0
HS3ST1	311	2668	366	228	399
AOC1	625	5451	3765	1247	1307
WNT16	25	1	10	11	0
HECW1	321	1	1	205	2
MAD1L1	85	8	49	144	21
LASP1	9433	34188	7612	3936	3958
SNX11	655	542	531	380	716
TMEM176A	1187	360	513	1879	7969
M6PR	3120	4824	3175	1443	2217
KLHL13	87	7	599	90	95
CYP26B1	79	1828	30	23	28
ICA1	1499	2604	1875	1162	1775
DBNDD1	158	983	490	197	666
ALS2	1862	3579	2066	1088	1139
CASP10	1420	818	665	1584	302
CFLAR	5948	6331	2034	6700	3065
TFPI	4173	3242	645	1085	229
NDUFAF7	492	294	791	418	931
RBM5	2529	1180	1468	3030	2692
MTMR7	54	12	25	238	5
SLC7A2	2167	1	664	333	28
ARF5	1098	3954	3116	442	3798
SARM1	175	200	132	255	106
POLDIP2	2505	5167	2967	1223	2101
PLXND1	7174	547	204	1733	373
AK2	2762	9677	5765	3880	7867
CD38	209	1	3	579	2
FKBP4	1805	7044	3284	1441	6130
KDM1A	3799	6245	5823	2525	2415
RBM6	2991	2847	2344	2442	5440
CAMKK1	451	419	501	279	243
RECQL	2146	1025	1324	506	397
VPS50	1056	875	1484	1381	676
HSPB6	29	3	2	20	0
ARHGAP33	100	259	53	116	170
NDUFAB1	639	2717	2798	820	10649
PDK4	869	1200	193	2888	598
SLC22A16	22	0	2	22	12
ZMYND10	14	63	12	14	38
ABCB5	54	0	1	99	0
ARX	5	0	1	4	14
SLC25A13	1449	1490	2089	1490	905
ST7	504	516	960	576	286
CDC27	2932	2758	2675	2504	2257
SLC4A1	5	0	0	10	2
CALCR	18	6	2	20	5
HCCS	371	1221	672	716	2271
DVL2	853	1136	1247	321	456
PRSS22	797	760	1432	582	1723
UPF1	3635	6416	4990	1793	2193
SKAP2	2424	3256	2156	1610	4618
SLC25A5	3734	16610	27537	4496	71743
MCUB	527	436	447	403	213
HOXA11	3	3	311	318	144
POLR2J	356	1309	1036	241	3554
DHX33	859	968	1494	653	326
MEOX1	81	0	1	49	5
THSD7A	798	5	8	395	35
LIG3	1507	1756	1934	1307	1186
RPAP3	1183	2137	1600	921	1271
ACSM3	118	1029	312	227	773
REXO5	97	256	279	109	139
CIAPIN1	959	1903	2586	545	1990
SPPL2B	823	2131	1214	876	640
FAM214B	1063	499	530	332	409
COPZ2	414	23	5	98	14
PRKAR2B	148	1	7	375	7
MSL3	731	1171	602	1241	1671
CREBBP	5263	5338	2625	3617	1959
TSPOAP1	326	46	132	144	161
MPO	8	2	54	9	2
PON1	77	0	1	11	9
GCFC2	556	763	1061	682	952
WDR54	388	972	1114	109	477
CROT	523	292	625	471	406
ABCB4	129	8	90	151	130
KMT2E	4403	3954	2231	5456	2054
RHBDD2	1256	2439	3417	588	2876
SOX8	23	1144	531	14	300
IBTK	4192	4364	4229	2949	2808
ZNF195	1828	1299	2577	2386	3327
MYCBP2	6799	2499	6189	6175	1314
FBXL3	1219	1280	996	1416	2047
ITGAL	513	145	8	412	12
PDK2	421	1972	421	223	416
ITGA3	18647	12424	3256	1598	1094
ZFX	2214	925	3006	2983	957
LAMP2	8287	4602	10579	8237	23332
ITGA2B	11	16	6	14	87
ASB4	26	38	809	250	336
GDE1	2851	4148	4783	1698	5428
REX1BD	516	1229	743	209	1054
CRLF1	877	3	24	39	24
OSBPL7	809	1345	390	566	917
TMEM98	1020	2225	1842	608	1401
YBX2	2	36	447	433	352
KRT33A	1	0	0	1	0
MAP3K14	389	389	183	283	307
ABCC8	109	21	37	28	12
CACNG3	0	0	0	1	0
TMEM132A	3945	1193	1994	376	1011
AP2B1	14413	13531	7939	6483	4138
TAC1	0	0	2	53	0
ZNF263	1333	1755	1882	1051	1593
CX3CL1	631	397	766	180	340
SPATA20	2456	2354	1344	311	957
CACNA1G	4	5	3	18	2
TNFRSF12A	2736	2832	2980	561	5147
DLX6	2	0	1	15	168
MAP3K9	1307	1181	1411	407	922
RALA	3700	2262	2266	1964	2961
BAIAP2L1	1538	5591	2748	1477	2044
KDM7A	2329	1481	5230	6243	1659
ETV1	2020	897	53	309	9
AGK	853	1276	2106	1403	924
ALDH3B1	1945	3134	308	479	177
TTC22	641	1372	416	509	241
PHTF2	2061	564	828	1536	770
CCL26	22	3	22	11	12
FARP2	2641	2776	2476	3245	1600
USH1C	2070	3759	6137	1684	3041
GGCT	372	898	1602	885	1952
DBF4	380	1156	2191	926	3958
TBXA2R	55	2	2	24	2
IFRD1	397	194	542	1351	1134
LGALS14	2	0	0	3	0
COX10	452	623	793	445	629
GTF2IRD1	1729	1774	2393	1810	1841
PAF1	1140	2821	943	329	700
VPS41	4075	2423	4138	2268	1229
ARHGAP44	335	132	77	472	149
ELAC2	1696	2278	3127	694	985
SCIN	214	191	354	329	38
ARSD	2390	2622	4556	1703	990
PNPLA4	121	1136	888	324	3020
MYH13	71	0	34	39	0
ADIPOR2	3299	5499	3942	2469	2316
CDKL3	20	21	34	61	38
UPP2	7	3	13	16	0
PRSS21	236	2213	8	3	12
MARK4	1093	1938	316	321	943
PROM1	5088	1005	7279	5932	2380
CCDC124	386	2534	800	165	1361
CEACAM21	46	0	1	18	9
PAFAH1B1	5116	2875	3408	3482	1857
NOS2	15	0	220	160	26
DNAH9	24	0	10	47	14
KIAA0100	8446	8320	6339	3893	1654
SLC13A2	8	43	60	20	2
GAS7	2821	9	206	1362	12
TRAPPC6A	481	1332	745	79	1286
MATK	54	0	1	22	2
CEACAM7	897	1	18	5708	7
CD79B	22	0	0	12	2
SCN4A	2	0	8	22	21
ST7L	282	304	333	598	468
TKTL1	0	1	1	12	21
PAX6	265	1	38	44	24
RPUSD1	545	1565	1743	284	704
RHBDF1	1157	1593	1795	613	1333
LUC7L	1643	1285	1384	1505	4114
CACNA2D2	59	59	45	116	161
BAIAP3	126	547	303	78	941
TSR3	615	1373	835	152	598
PIGQ	825	1645	1053	276	430
CRAMP1	526	647	466	433	305
TEAD3	1456	1418	889	643	503
SELE	205	0	9	77	5
DNAJC11	1086	2251	1380	757	416
FMO3	172	1	3	119	21
MYLIP	708	979	1058	900	1517
NOX1	15	30	7513	2632	9139
E2F2	90	393	538	313	54
PSMB1	3229	5322	4843	1792	15037
SYN1	18	48	5	20	24
JARID2	1592	1194	892	911	475
CDKL5	2317	820	60	925	201
CAMK1G	37	2	13	32	2
CDK11A	28	59	22	64	47
NADK	2379	4851	2139	1189	1229
TFAP2B	0	0	0	9	0
TFAP2D	0	0	0	3	0
DLEC1	50	55	46	110	66
CYTH3	2532	1171	1314	881	541
ADAM22	1412	284	228	734	267
SYPL1	2350	4345	5510	3070	4918
CYB561	2882	3169	2058	1179	1624
SPAG9	8904	3093	4321	5018	3625
CELSR3	2221	1891	480	377	1486
AASS	732	565	26	512	411
PLEKHG6	320	3294	1392	680	1127
SS18L2	158	428	566	325	3233
MPND	113	244	227	95	158
MGST1	1788	6489	1619	859	6222
CRY1	736	1087	669	363	1330
PGLYRP1	11	4	8	23	12
NFIX	1848	4670	2211	2062	2543
ST3GAL1	4403	499	1472	919	326
MMP25	126	6	16	116	59
IL32	2322	693	1370	1257	981
PKD1	3651	1318	2001	1173	1569
MAPK8IP2	37	21	46	37	78
MED24	1773	14966	1539	958	1806
RHOBTB2	695	228	238	281	64
HEATR5B	2186	791	2478	1684	1418
SEC62	2991	5107	3537	2561	5570
RPS20	8654	31658	32413	8165	204868
CSDE1	13748	37409	19812	12340	27853
UBE3C	5280	7618	9119	4817	2545
REV3L	2894	1640	1802	3232	898
TENM1	41	0	12	118	7
PAX7	0	0	128	7	2
MASP2	31	30	61	342	104
IYD	841	1854	473	1336	780
FAM76A	516	452	544	543	631
TRAF3IP3	238	2	16	329	12
POMT2	959	712	502	302	225
VTA1	1326	2885	2185	1027	2526
MLXIPL	55	694	781	622	2120
BAZ1B	4925	6439	9950	4296	1765
RANBP9	1691	3409	1425	1215	643
ETV7	218	45	87	319	52
SPRTN	557	741	1168	405	645
EEF1AKNMT	1133	2179	1740	604	759
DYRK4	355	419	404	256	733
ZNF207	6249	6344	5529	8701	8524
UQCRC1	2577	7338	5052	1094	7482
STARD3NL	883	1194	968	773	2311
CD9	2685	13286	11245	2838	83812
HHATL	1	0	0	4	5
NCAPD2	3049	8392	6618	1523	2730
IFFO1	612	9	20	244	35
GIPR	177	189	71	101	90
PHF7	82	326	154	124	274
SEMA3G	189	79	71	128	31
NISCH	2279	2470	1347	1398	2257
STAB1	6097	4	37	1925	14
FUZ	314	753	165	44	33
SLC6A13	9	61	4	13	0
IDS	761	360	349	311	246
PRSS3	183	169	913	389	5086
ZNF200	496	426	585	552	903
CD4	1864	1	18	709	21
LRRC23	276	323	146	64	499
BTK	357	6	10	238	2
HFE	545	1078	464	288	210
SCMH1	1107	877	514	1041	513
FYN	2044	1168	2003	995	1075
HIVEP2	5825	1049	1447	1856	281
FMO1	271	10	9	66	14
ELOA	1985	1983	1373	1288	1983
LYPLA2	1514	4490	2026	627	1227
CLCN6	895	1129	360	714	503
MRC2	8769	13	22	1115	5
NME1.NME2	0	0	0	0	0
SLC6A7	13	5	146	83	19
TSPAN9	2611	709	409	473	331
BTBD7	3073	2843	1508	1560	1054
APBA3	473	445	384	143	409
MKS1	446	738	464	291	414
ABHD5	911	646	540	997	373
ANOS1	887	0	74	412	6948
AKAP8L	801	1406	1245	356	1340
MBTD1	1658	1497	1125	1752	1593
UTP18	1430	1806	1266	778	2687
RNF216	2274	2280	4279	1724	1144
TTC19	979	2075	4465	1797	3507
PTBP1	5360	16540	9035	3361	5892
DPF1	14	72	74	22	31
SYT7	255	53	861	2394	3460
LARS2	792	1798	1825	1002	520
PIK3C2A	6464	4208	7468	4851	2545
PLAUR	4087	218	651	574	506
ANLN	2207	5154	4511	1911	2384
WIZ	1465	3849	1003	811	770
RABGAP1	2541	7048	4690	2219	3110
DCN	26734	0	40	5220	5
QPCTL	433	845	357	155	614
PPP5C	1675	3055	1393	620	752
CEP68	1345	1291	1811	1443	851
MAP4K3	2045	1323	1421	1628	2073
ZBTB32	67	69	44	52	26
TYROBP	1021	0	2	311	0
TMEM159	882	1055	1940	326	4568
GABRA3	130	0	8	10	9
BRCA1	937	942	2535	1414	298
ERCC1	1103	2297	1142	337	759
CD22	95	71	30	111	0
SEMA3B	515	3235	478	366	3138
MBTPS2	845	1178	590	1369	1113
PRICKLE3	202	804	416	175	775
LTF	48	0	16	29	31
EXTL3	1721	1348	854	642	324
NR1H4	30	34	23	142	5
ELOVL5	2783	5	5756	2094	6478
ALOX5	2503	8	60	442	21
KDM5D	0	0	8	0	83
CALCOCO1	2326	3230	1694	1930	2054
UBR7	1050	1475	758	528	475
MAP4K5	4078	1449	784	1618	978
EHD3	699	0	83	200	19
PSMC4	2907	3473	2250	666	1846
MAN2B2	3297	2191	1109	1286	487
SLC7A14	25	0	1	24	0
CLDN11	210	1	21	36	26
SLC25A39	3541	10394	4614	1343	6322
MVP	11001	7177	6364	2514	2018
NUB1	1952	3754	3112	2347	1931
PGM3	2101	1139	2002	1507	4178
RWDD2A	349	365	395	175	1227
CLK1	3265	1577	1084	1863	12338
POLR3B	427	743	882	367	158
ANGEL1	1329	2121	1372	944	2039
RNF14	1207	1418	2275	1390	1789
DNASE1L1	353	530	511	143	371
DDX11	983	1960	1419	908	1479
HEBP1	696	1560	363	480	3049
GPRC5A	14731	35720	17322	8284	11618
MAMLD1	276	2	29	63	7
CD6	274	5	56	156	33
TACC3	1229	3227	1549	586	983
UFL1	1661	2852	2864	1249	2850
POLA2	112	121	197	208	73
ZC3H3	393	1146	667	444	534
CAPN1	7769	7620	7724	2574	3301
ACP3	99	91	19	87	28
MDH1	2397	4911	4549	1008	12591
SLC30A9	2922	5340	4243	2791	2321
MTMR11	1215	1061	1473	1131	1042
COX15	853	2299	2927	1329	1860
CCDC88C	2721	5168	3614	1064	1253
YAF2	568	411	549	1372	1876
ZMYND11	2518	5170	3258	2202	1028
WAS	392	10	14	149	31
DPEP1	206	10	1013	1829	173
BID	832	1656	1637	740	1754
MATR3	462	34	291	1235	314
NPC1L1	754	2094	232	15	175
XYLT2	1520	1413	1151	535	820
RGPD5	2	0	6	3	2
STMN4	4	0	1	3	2
NUDCD3	3098	3087	5701	2350	1791
ISL1	120	8	106	7	17
CHDH	624	7568	2757	1389	2240
IL20RA	547	944	1074	725	1512
CLCA1	11	0	11	20702	0
CLCA4	7	0	6	559	0
GLT8D1	1474	1618	1314	947	1387
ATP2C1	4333	4406	3287	3120	3013
IGF1	92	0	10	57	17
SLC38A5	1814	9	2062	712	357
RALBP1	3666	5946	5752	1296	1300
RUFY3	2099	1011	530	2210	324
CNTN1	1120	0	6	67	5
SLC11A1	1417	43	50	560	43
WWTR1	3164	1987	866	989	1257
AGPS	3433	3892	2521	2602	1834
ZNF806	1	0	0	12	2
CXorf56	752	950	2186	443	2172
ATP1A2	21	0	3	33	0
TTC27	668	424	1204	550	1392
ZNF582	38	0	3	24	14
VSIG2	364	526	71	172	26
PHLDB1	7247	1019	452	1941	326
MARCO	529	0	0	117	0
CYP24A1	960	152	1	224	73
PRDM11	818	106	186	204	33
SYT13	2743	1874	5965	199	76
SNAI2	974	0	4	614	9
CD74	33353	6036	4622	11854	2233
HGF	416	0	5	417	0
ZRANB1	854	934	886	562	475
NCDN	903	1350	687	231	180
ADGRA2	3613	10	22	530	0
CCT8L1P	2	0	1	9	0
ZFP64	712	1106	996	714	782
MNAT1	674	1480	426	244	3753
SAMD4A	2772	63	513	901	837
RUNX3	284	4	32	355	295
MRE11	1504	1875	2859	1823	1576
PLEKHB1	358	5256	4238	459	3278
SERPINB1	2708	15135	16710	2766	6572
CYP3A43	5	0	8	6	2
SLC7A9	16	5	80	11	7
SPAST	1304	1319	1702	1149	1009
NRXN3	116	1	76	306	1411
OSBPL5	2138	701	1426	449	310
AQR	5576	4638	3774	1897	1290
CPS1	248	517	630	53	17
C8B	2	0	0	9	0
