	V1	V2	V3	c("", "Users", "junninghu", "Documents", "Cancer-Hallmark-Gene-Analysis", "mRNA", "scaled", "expression.txt")_pvalue	c("", "Users", "junninghu", "Documents", "Cancer-Hallmark-Gene-Analysis", "mRNA", "scaled", "expression.txt")_HR	c("", "Users", "junninghu", "Documents", "Cancer-Hallmark-Gene-Analysis", "mRNA", "scaled", "expression.txt")_CI_low	c("", "Users", "junninghu", "Documents", "Cancer-Hallmark-Gene-Analysis", "mRNA", "scaled", "expression.txt")_CI_high	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100	V101	V102	V103	V104	V105	V106	V107
1	AAAS	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.	0.317310507862914	0	0	Inf																																																																																																				
2	ABAT	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.	0.317310507862914	1615474875.2	0	Inf																																																																																																				
3	ABCC5	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.	1																																																																																																							
4	ABHD4	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.	0.317310507862914	0	0	Inf																																																																																																				
5	ABL1	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.	0.317310507862914	1615474875.2	0	Inf																																																																																																				
6	ACVR1B	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.	0.317310507862914	1615474875.2	0	Inf																																																																																																				
7	ADA	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.	0.317310507862914	0	0	Inf																																																																																																				
8	ADA	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.	0.317310507862914	0	0	Inf																																																																																																				
9	ADCY6	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.	0.317310507862914	1615474875.2	0	Inf																																																																																																				
10	ADD1	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.	0.317310507862914	1615474875.2	0	Inf																																																																																																				
11	ADRM1	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.	0.317310507862914	0	0	Inf																																																																																																				
12	AEN	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.	0.317310507862914	0	0	Inf																																																																																																				
13	AGO4	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.	0.317310507862914	1615474875.2	0	Inf																																																																																																				
14	AIFM3	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.	1																																																																																																							
15	AK1	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.	0.317310507862914	0	0	Inf																																																																																																				
16	AK1	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.	0.317310507862914	0	0	Inf																																																																																																				
17	AK2	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.	1																																																																																																							
18	AK3	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.	1																																																																																																							
19	ALOX15B	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.	1																																																																																																							
20	ALYREF	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.	0.317310507862914	0	0	Inf																																																																																																				
21	AMD1	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.	1																																																																																																							
22	ANKH	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.	1																																																																																																							
23	ANKRA2	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.	0.317310507862914	0	0	Inf																																																																																																				
24	ANP32E	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.	0.317310507862914	1615474875.2	0	Inf																																																																																																				
25	ANXA1	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.	0.317310507862914	1615474875.2	0	Inf																																																																																																				
26	APAF1	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.	0.317310507862914	1615474875.2	0	Inf																																																																																																				
27	APP	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.	0.317310507862914	0	0	Inf																																																																																																				
28	APP	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.	0.317310507862914	0	0	Inf																																																																																																				
29	APRT	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.	0.317310507862914	0	0	Inf																																																																																																				
30	ARID4A	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.	1																																																																																																							
31	ARL6IP1	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.	1																																																																																																							
32	ASF1A	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.	0.317310507862914	0	0	Inf																																																																																																				
33	ASF1B	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.	1																																																																																																							
34	ATAD2	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.	1																																																																																																							
35	ATF3	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.	1																																																																																																							
36	ATF3	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.	1																																																																																																							
37	ATF5	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.	1																																																																																																							
38	ATRX	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.	1																																																																																																							
39	AURKA	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.	1																																																																																																							
40	AURKA	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.	1																																																																																																							
41	AURKB	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.	0.317310507862914	0	0	Inf																																																																																																				
42	AURKB	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.	0.317310507862914	0	0	Inf																																																																																																				
43	AVPR1A	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.	1																																																																																																							
44	BAIAP2	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.	0.317310507862914	0	0	Inf																																																																																																				
45	BAK1	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.	0.317310507862914	0	0	Inf																																																																																																				
46	BARD1	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.	0.317310507862914	1615474875.2	0	Inf																																																																																																				
47	BARD1	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.	0.317310507862914	1615474875.2	0	Inf																																																																																																				
48	BAX	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.	0.317310507862914	0	0	Inf																																																																																																				
